WEEK,GAME_TIME,VISITOR_TEAM,HOME_TEAM,WINNING_TEAM
1,09/01/16,Appalachian St,Tennessee,
1,09/01/16,South Carolina,Vanderbilt,
1,09/03/16,South Alabama,Miss St,
1,09/03/16,Missouri,West Virginia,
1,09/03/16,UCLA,Texas A&M,
1,09/03/16,LSU,Wisconsin,
1,09/03/16,LA Tech,Arkansas,
1,09/03/16,Georgia,North Carolina,
1,09/03/16,Southern Miss,Kentucky,
1,09/03/16,UMass,Florida,
1,09/03/16,USC,Alabama,
1,09/03/16,Clemson,Auburn,
1,09/05/16,Ole Miss,Florida State,
2,09/10/16,Nicholls State,Georgia,
2,09/10/16,PV A&M,Texas A&M,
2,09/10/16,Kentucky,Florida,
2,09/10/16,W Kentucky,Alabama,
2,09/10/16,Wofford,Ole Miss,
2,09/10/16,Mid Tennessee,Vanderbilt,
2,09/10/16,South Carolina,Miss St,
2,09/10/16,Arkansas,TCU,
2,09/10/16,Arkansas State,Auburn,
2,09/10/16,Jacksonville St,LSU,
2,09/10/16,E Michigan,Missouri,
2,09/10/16,Tennessee,Virginia Tech,
3,09/17/16,Ohio,Tennessee,
3,09/17/16,Vanderbilt,Georgia Tech,
3,09/17/16,Alabama,Ole Miss,
3,09/17/16,East Carolina,South Carolina,
3,09/17/16,New Mexico St,Kentucky,
3,09/17/16,Miss St,LSU,
3,09/17/16,Texas A&M,Auburn,
3,09/17/16,North Texas,Florida,
3,09/17/16,Texas State,Arkansas,
3,09/17/16,Georgia,Missouri,
4,09/24/16,Kent State,Alabama,
4,09/24/16,LSU,Auburn,
4,09/24/16,South Carolina,Kentucky,
4,09/24/16,Georgia,Ole Miss,
4,09/24/16,Delaware State,Missouri,
4,09/24/16,Florida,Tennessee,
4,09/24/16,Arkansas,Texas A&M,
4,09/24/16,Miss St,UMass,
4,09/24/16,Vanderbilt,W Kentucky,
5,10/01/16,Kentucky,Alabama,
5,10/01/16,Alcorn State,Arkansas,
5,10/01/16,UL Monroe,Auburn,
5,10/01/16,Tennessee,Georgia,
5,10/01/16,Missouri,LSU,
5,10/01/16,Memphis,Ole Miss,
5,10/01/16,Texas A&M,South Carolina,
5,10/01/16,Florida,Vanderbilt,
6,10/08/16,Alabama,Arkansas,
6,10/08/16,LSU,Florida,
6,10/08/16,Vanderbilt,Kentucky,
6,10/08/16,Auburn,Miss St,
6,10/08/16,Georgia,South Carolina,
6,10/08/16,Tennessee,Texas A&M,
7,10/14/16,Miss St,BYU,
7,10/15/16,Ole Miss,Arkansas,
7,10/15/16,Missouri,Florida,
7,10/15/16,Vanderbilt,Georgia,
7,10/15/16,Southern Miss,LSU,
7,10/15/16,Alabama,Tennessee,
8,10/22/16,UMass,South Carolina,
8,10/22/16,Texas A&M,Alabama,
8,10/22/16,Arkansas,Auburn,
8,10/22/16,Miss St,Kentucky,
8,10/22/16,Ole Miss,LSU,
8,10/22/16,Mid Tennessee,Missouri,
8,10/22/16,Tennessee St,Vanderbilt,
9,10/29/16,Auburn,Ole Miss,
9,10/29/16,Samford,Miss St,
9,10/29/16,Kentucky,Missouri,
9,10/29/16,Tennessee,South Carolina,
9,10/29/16,New Mexico St,Texas A&M,
9,10/29/16,Florida,Georgia,
10,11/05/16,Florida,Arkansas,
10,11/05/16,Vanderbilt,Auburn,
10,11/05/16,Georgia,Kentucky,
10,11/05/16,Alabama,LSU,
10,11/05/16,Ga Southern,Ole Miss,
10,11/05/16,Texas A&M,Miss St,
10,11/05/16,Missouri,South Carolina,
10,11/05/16,Tenn Tech,Tennessee,
11,11/12/16,Miss St,Alabama,
11,11/12/16,LSU,Arkansas,
11,11/12/16,South Carolina,Florida,
11,11/12/16,Auburn,Georgia,
11,11/12/16,Vanderbilt,Missouri,
11,11/12/16,Kentucky,Tennessee,
11,11/12/16,Ole Miss,Texas A&M,
12,11/19/16,Chattanooga,Alabama,
12,11/19/16,Alabama A&M,Auburn,
12,11/19/16,Presbyterian,Florida,
12,11/19/16,LA-Lafayette,Georgia,
12,11/19/16,Austin Peay,Kentucky,
12,11/19/16,South Alabama,LSU,
12,11/19/16,Arkansas,Miss St,
12,11/19/16,W Carolina,South Carolina,
12,11/19/16,Missouri,Tennessee,
12,11/19/16,UTSA,Texas A&M,
12,11/19/16,Ole Miss,Vanderbilt,
13,11/24/16,LSU,Texas A&M,
13,11/25/16,Arkansas,Missouri,
13,11/26/16,South Carolina,Clemson,
13,11/26/16,Tennessee,Vanderbilt,
13,11/26/16,Auburn,Alabama,
13,11/26/16,Florida,Florida State,
13,11/26/16,Georgia Tech,Georgia,
13,11/26/16,Kentucky,Louisville,
13,11/26/16,Miss St,Ole Miss,
